"Name","Position","Team","Year","Week","PassYds","PassTD","PassComp","PassAtt","PassPct","PassYdsPerAtt","PassLong","QBR","Int","Sacks","RushYds","RushTD","RushAtt","RushAve","RushLong","RecYds","RecTD","Rec","Targets","RecAve","RecLong"
"aaron rodgers","QB","GB","2018","13","233","1","31","50","62.0%","4.7","19","79.8","0","1","20","0","3","6.7","11","","","","","",""
"andrew luck","QB","IND","2018","13","248","0","33","52","63.5%","4.8","20","66.8","1","3","16","0","2","8.0","11","","","","","",""
"baker mayfield","QB","CLE","2018","13","397","1","29","43","67.4%","9.2","71","75.4","3","0","","","","","","","","","","",""
"ben roethlisberger","QB","PIT","2018","13","281","2","29","45","64.4%","6.2","46","87.4","1","1","","","","","","","","","","",""
"blaine gabbert","QB","TEN","2018","13","","","","","","","","","","","-1","0","1","-1.0","-1","","","","","",""
"cam newton","QB","CAR","2018","13","300","2","28","41","68.3%","7.3","33","66.2","4","4","33","0","6","5.5","15","","","","","",""
"carson wentz","QB","PHI","2018","13","306","2","27","39","69.2%","7.8","39","98.9","1","0","-4","0","4","-1.0","-1","","","","","",""
"case keenum","QB","DEN","2018","13","151","1","12","21","57.1%","7.2","30","95.5","0","2","9","0","2","4.5","10","","","","","",""
"chase daniel","QB","CHI","2018","13","285","1","26","39","66.7%","7.3","46","75.3","2","5","4","0","4","1.0","4","","","","","",""
"cody kessler","QB","JAX","2018","13","150","0","18","24","75.0%","6.3","23","90.6","0","3","28","0","5","5.6","11","","","","","",""
"colt mccoy","QB","WAS","2018","13","50","0","4","4","100.0%","12.5","32","118.8","0","1","","","","","","","","","","",""
"dak prescott","QB","DAL","2018","13","249","1","24","28","85.7%","8.9","40","115.6","0","7","22","0","5","4.4","15","","","","","",""
"derek carr","QB","OAK","2018","13","285","3","29","38","76.3%","7.5","29","123.2","0","3","8","0","1","8.0","8","","","","","",""
"deshaun watson","QB","HOU","2018","13","224","1","22","31","71.0%","7.2","29","102.1","0","4","30","0","7","4.3","11","","","","","",""
"drew brees","QB","NO","2018","13","127","1","18","28","64.3%","4.5","30","71.6","1","2","2","0","1","2.0","2","","","","","",""
